回号,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,ボーナス数字,1等口数,2等口数,3等口数,4等口数,5等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,キャリーオーバー,抽せん日
1976,2025-02-24,4,6,22,30,33,36,2,1,2,222,10492,167538,200000000,32344900,314600,7000,1000,15625957,
1977,2025-02-27,4,14,20,28,29,34,30,7,6,210,10859,173020,37160000,12225100,377200,7700,1000,0,
1978,2025-03-03,23,25,26,30,34,35,12,1,2,160,7633,140461,200000000,36927800,498500,11000,1000,46177490,
1979,2025-03-06,15,18,19,21,37,40,17,0,5,167,9084,151824,0,14252500,460800,8900,1000,283712254,
1980,2025-03-10,1,2,13,19,35,41,3,2,4,239,11996,202581,288235400,21957600,396800,8300,1000,0,
1981,2025-03-13,5,10,15,17,29,41,30,0,9,171,10254,160545,0,6953100,395200,6900,1000,208586608,
1982,2025-03-17,20,21,23,28,32,34,6,0,3,167,9007,157954,0,26913200,522100,10200,1000,477710057,
1983,2025-03-20,3,18,31,36,37,40,23,0,4,179,10100,174041,0,20259200,488900,9100,1000,747824533,
1984,2025-03-24,4,19,28,29,34,40,3,1,5,310,13861,216030,600000000,18522400,322600,7600,1000,456522723,
1985,2025-03-27,1,30,36,37,41,43,33,0,4,155,8786,152020,0,21698500,604700,11200,1000,745827333,
1986,2025-03-31,14,20,29,31,41,42,24,0,6,211,10627,184279,0,15588700,478700,10000,1000,1057592440,
1987,2025-04-03,8,12,25,28,32,42,27,1,4,349,16113,249001,600000000,22204700,274800,6200,1000,753645824,
1988,2025-04-07,6,20,23,24,33,35,27,1,7,233,13636,221858,600000000,12610700,409100,7300,1000,447886685,
1989,2025-04-10,15,17,23,29,35,43,8,0,12,262,11276,181594,0,6836700,338100,8300,1000,721346489,
1990,2025-04-14,6,9,15,19,24,40,30,1,7,309,14668,230369,600000000,11973100,292900,6500,1000,400711088,
1991,2025-04-17,1,5,12,16,17,40,4,2,3,278,12511,208004,333146900,26559100,309500,7200,1000,0,
1992,2025-04-21,9,11,18,21,27,34,13,2,6,290,13380,194321,107593400,10759600,240400,5500,1000,0,
1993,2025-04-24,7,12,13,35,37,42,31,1,4,205,9632,156719,200000000,16096700,339100,7600,1000,14616653,
1994,2025-04-28,10,11,13,16,24,26,12,1,6,243,11995,193990,243750300,11457000,305500,6500,1000,0,
1995,2025-05-01,2,4,8,26,27,37,19,3,11,294,13244,205361,66525400,5443100,219900,5100,1000,0,
1996,2025-05-05,6,17,26,28,33,34,20,2,7,215,10299,161024,105651300,9056100,318400,7000,1000,0,
1997,2025-05-08,5,16,17,28,36,40,0,4,243,10860,159161,0,16234200,288500,6800,1000,216449935,0,
1998,2025-05-12,1,4,6,9,20,43,21,0,8,339,15697,221407,0,9467000,241200,5500,1000,468895009,
1999,2025-05-15,17,31,34,35,36,38,2,0,4,164,953,346,0,21589900,568600,11000,1000,756752052,
