回号,抽せん日,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
603,2024-11-29,4,9,10,23,28,30,34,18,31,0,4,89,5200,81984,132165,0,14144500,889900,8900,1400,1000,342553405.0
604,2024-12-06,4,6,9,12,25,31,36,27,30,1,10,156,6826,102518,169531,752223400,6838400,613600,8200,1300,1000,0.0
605,2024-12-13,2,8,15,26,28,31,32,19,24,2,868,132,5516,81272,143908,178072800,66200,609900,8500,1400,900,0.0
606,2024-12-20,9,17,18,20,22,27,36,25,37,0,2,89,4737,75921,123899,0,28280000,889600,9800,1500,1100,338982680.0
607,2024-12-27,12,14,20,27,31,34,37,19,21,0,7,115,5671,91878,165827,0,10960200,933900,11100,1600,1100,808753825.0
608,2025-01-10,7,10,11,18,20,29,30,32,36,0,10,200,8848,132329,194301,0,8639800,604700,8000,1300,1100,1323081880.0
609,2025-01-17,4,11,12,23,26,32,37,1,9,0,12,156,7808,118584,210772,0,6953000,748700,8700,1400,900,1837033120.0
610,2025-01-24,1,8,9,23,24,31,36,21,28,2,13,172,9091,138054,216296,1000000000,6931800,733400,8100,1300,1000,380263390.0
611,2025-01-31,7,8,11,18,20,30,34,5,14,1,7,151,6885,103668,167800,805690900,9981300,647700,8300,1300,1000,0.0
612,2025-02-07,5,13,16,23,27,31,34,26,33,1,3,137,5619,79216,125666,357391600,19408300,594900,8500,1400,1100,0.0
613,2025-02-14,3,5,6,10,19,21,35,13,27,1,12,233,7688,98001,154525,453102600,4477900,265600,4800,1200,1000,0.0
614,2025-02-21,14,21,22,23,24,28,34,5,37,2,6,78,4122,71114,124158,207555000,8222100,728500,8300,1600,1100,0.0
615,2025-02-28,4,11,21,26,27,28,33,10,13,0,5,100,5119,83956,150454,0,9904300,570400,6700,1300,900,423508450.0
616,2025-03-07,7,15,20,28,29,34,36,1,35,0,5,127,6128,96876,154736,0,11794900,534900,6700,1400,1100,913032910.0
617,2025-03-14,2,6,10,12,25,28,35,27,31,1,15,186,7781,121794,194794,1200000000,4639700,431000,6200,1300,1000,298721810.0
618,2025-03-21,7,17,20,23,24,34,36,25,35,0,5,105,5328,89467,144750,0,11191500,613800,7300,1400,1100,768982020.0
619,2025-03-28,8,9,18,20,27,29,32,7,12,0,15,151,7190,110787,190055,0,4182400,478500,6000,1300,900,1300543185.0
620,2025-04-04,2,4,8,10,12,29,32,6,13,1,11,160,8655,128170,204580,1200000000,6287200,497900,5500,1200,900,695876615.0
621,2025-04-11,1,2,12,13,14,30,36,9,24,0,7,87,5161,88530,175012,0,8715900,807800,8200,1600,1000,1202205675.0
622,2025-04-18,1,10,28,29,30,33,34,21,27,0,9,113,5777,95242,170185,0,7569700,694400,8200,1600,1100,1781479320.0
623,2025-04-25,9,12,22,26,28,31,37,7,30,1,6,139,7435,124781,213674,1200000000,12275400,610300,6900,1300,1000,1198885675.0
624,2025-05-02,2,14,15,26,27,34,36,9,24,2,11,206,8146,116297,202429,895860400,6319400,388700,5900,1400,900,0.0
625,2025-05-09,3,10,12,18,19,24,32,4,15,1,3,6004,89063,151776,420020500,16607600,464300,5700,1300,900,0,
626,2025-05-16,1,3,7,12,17,32,34,14,30,7,7,84,690,366,630,"6,952,100","6,952,100","667,300","7,200","1,400","1,000","410,892,875円"
627,2025-05-23,9,15,21,30,33,34,37,10,35,1,8,101,5683,94832,146514,888183900,7147700,652100,7000,1400,1100,0
628,2025-05-30,1,8,9,11,18,27,35,16,34,2,7,140,6457,92719,132363,201318100,6747800,388600,5100,1100,1000,0
629,2025-06-06,02,07,09,21,23,24,30,22,29,9,9,104,5225,82104,131737,5342800,5342800,532500,6400,1300,1000,410077305
