回号,抽せん日,第1数字,第2数字,第3数字,第4数字,第5数字,ボーナス数字,1等口数,2等口数,3等口数,4等口数,1等賞金,2等賞金,3等賞金,4等賞金
1311,2024-11-26,3,11,27,28,31,26,17.0,66.0,2163.0,56360.0,9262100.0,171300.0,9000.0,900.0
1312,2024-12-03,10,12,13,21,31,23,14.0,89.0,1884.0,48525.0,11538300.0,130300.0,10600.0,1000.0
1313,2024-12-10,2,5,9,22,31,15,11.0,98.0,1884.0,52311.0,14439300.0,116400.0,10400.0,900.0
1314,2024-12-17,18,20,21,23,30,25,12.0,56.0,1503.0,44942.0,13519900.0,208100.0,13400.0,1100.0
1315,2024-12-24,6,15,22,29,30,13,5.0,77.0,1879.0,52042.0,33339700.0,155500.0,11000.0,1000.0
1316,2025-01-07,4,7,10,11,17,23,18.0,138.0,3201.0,71597.0,10244200.0,95900.0,7100.0,800.0
1317,2025-01-14,7,22,26,30,31,11,27.0,109.0,1708.0,46649.0,5887800.1047,11500.0,1100.0,
1318,2025-01-21,5,7,15,24,29,12,16.0,107.0,1874.0,51563.0,9912400.0,106400.0,10500.0,1000.0
1319,2025-01-28,4,6,16,26,29,31,16.0,79.0,1816.0,49195.0,9926900.0,144400.0,10800.0,1000.0
1320,2025-02-04,2,3,7,25,28,4,20.0,76.0,2264.0,60443.0,8100700.0,153100.0,8900.0,800.0
1321,2025-02-11,1,5,6,24,25,11,8.0,96.0,1880.0,48808.0,19262900.0,115300.0,10200.0,1000.0
1322,2025-02-18,5,16,18,22,28,6,12.0,72.0,1959.0,50231.0,13612300.0,162900.0,10300.0,1000.0
1323,2025-02-25,4,9,18,24,25,15,15.0,77.0,2163.0,53795.0,10662700.0,149200.0,9200.0,900.0
1324,2025-03-04,5,6,14,20,27,1,10.0,67.0,1842.0,49450.0,16151000.0,173100.0,10900.0,1000.0
1325,2025-03-11,10,15,22,23,25,13,13.0,64.0,1494.0,46286.0,12476500.0,182000.0,13500.0,1100.0
1326,2025-03-18,4,9,15,19,26,3,17.0,88.0,1944.0,48637.0,9062300.0,125700.0,9800.0,1000.0
1327,2025-03-25,4,9,26,27,29,16,14.0,100.0,1736.0,49881.0,11145300.0,112000.0,11100.0,1000.0
1328,2025-04-01,1,12,15,27,31,18,11.0,54.0,1720.0,46806.0,14222600.0,208100.0,11300.0,1000.0
1329,2025-04-08,5,6,8,21,30,23,11.0,66.0,1903.0,52101.0,14312600.0,171300.0,10300.0,900.0
1330,2025-04-15,1,13,24,25,31,11,13.0,60.0,1627.0,45905.0,12140500.0,188900.0,12000.0,1100.0
1331,2025-04-22,9,11,13,27,28,16,21.0,91.0,2367.0,56200.0,7479000.0,123900.0,8200.0,900.0
1332,2025-04-29,12,16,17,20,25,28,10.0,63.0,1389.0,40962.0,15169000.0,172900.0,13500.0,1200.0
1333,2025-05-06,7,11,18,25,26,6,17.0,83.0,2406.0,56247.0,8873100.0,130500.0,7800.0,800.0
1334,2025-05-13,3,8,21,27,29,16,12.0,113.0,2094.0,54335.0,13049800.0,99500.0,9300.0,900.0
1335,2025-05-20,12,17,18,22,31,30,9.0,60.0,1624.0,45231.0,16859700.0,181600.0,11600.0,1000.0
1336,2025-05-27,3,20,21,24,25,26,8.0,40.0,1678.0,42228.0,19389800.0,278500.0,11500.0,1100.0
1337,2025-06-03,3,11,17,20,22,14,13.0,77.0,1888.0,50893.0,12051400.0,146100.0,10300.0,1000.0
1338,2025-06-10,13,18,21,28,31,11,19.0,83.0,1971.0,46523.0,8041800.0,132200.0,9600.0,1000.0
1339,2025-06-17,6,14,21,23,31,22,24.0,79.0,1640.0,46153.0,6537500.0,142600.0,11900.0,1100.0
1341,2025-07-01,5,12,16,24,28,31,51.0,92.0,2789.0,54974.0,3147900.0,125300.0,7100.0,900.0
1340,2025-06-24,08,19,22,24,27,25,8,56,1960,51905,19233600,197300,9700,900
