回号,第1数字,第2数字,第3数字
1,1,9,1
2,9,8,8
3,1,9,4
4,1,0,5
5,5,9,2
6,7,9,2
7,7,0,8
8,2,3,4
9,2,4,3
10,3,4,0
11,3,2,6
12,2,4,7
13,2,2,9
14,7,4,3
15,0,1,9
16,1,7,9
17,4,7,5
18,2,9,1
19,8,5,2
20,5,0,2
21,5,5,8
22,9,5,1
23,9,1,2
24,0,3,9
25,4,5,8
26,9,8,4
27,9,1,7
28,7,8,9
29,5,8,9
30,7,2,5
31,0,7,3
32,5,4,7
33,0,6,3
34,6,3,4
35,3,3,3
36,4,0,5
37,1,6,8
38,3,8,9
39,5,8,7
40,3,0,4
41,0,4,8
42,2,2,8
43,9,2,2
44,6,9,7
45,9,7,0
46,2,9,8
47,9,8,9
48,2,0,2
49,4,7,6
50,0,4,2
51,8,0,2
52,7,1,7
53,8,8,9
54,2,2,6
55,7,2,8
56,9,2,9
57,8,3,6
58,3,8,3
59,4,1,0
60,9,8,0
61,5,4,2
62,7,2,5
63,2,5,1
64,2,6,0
65,5,8,8
66,5,1,2
67,5,1,2
68,7,5,0
69,9,0,2
70,9,6,3
71,6,6,1
72,8,7,9
73,4,5,2
74,1,7,4
75,2,8,3
76,2,3,8
77,9,7,2
78,2,4,1
79,3,1,0
80,8,8,2
81,2,6,9
82,1,4,4
83,1,7,4
84,8,8,2
85,3,0,7
86,8,6,4
87,3,7,0
88,7,3,9
89,6,9,7
90,6,8,9
91,1,6,8
92,9,5,7
93,9,1,0
94,9,3,3
95,3,0,6
96,9,4,4
97,9,8,8
98,5,6,2
99,5,7,1
100,8,9,9
101,9,4,5
102,5,6,0
103,8,2,4
104,6,1,0
105,6,1,9
106,0,8,6
107,0,8,2
108,2,5,4
109,1,9,1
110,3,8,5
111,0,5,6
112,1,6,7
113,7,4,4
114,2,0,5
115,7,7,0
116,3,6,6
117,9,5,2
118,6,3,5
119,9,5,2
120,6,5,0
121,4,3,9
122,4,5,8
123,5,1,3
124,8,6,3
125,4,0,9
126,3,1,8
127,2,1,7
128,8,5,5
129,6,2,0
130,5,5,9
131,8,2,0
132,0,1,6
133,9,2,6
134,6,0,3
135,4,5,4
136,2,9,5
137,8,1,9
138,9,9,5
139,3,5,6
140,0,5,4
141,7,8,3
142,0,7,7
143,6,9,4
144,5,9,4
145,1,2,5
146,7,6,6
147,4,6,4
148,4,8,9
149,0,0,3
150,5,3,8
151,3,3,2
152,2,2,4
153,7,5,0
154,7,9,1
155,1,2,6
156,9,9,1
157,5,7,0
158,6,0,4
159,2,5,9
160,8,3,9
161,2,8,4
162,5,1,6
163,6,4,8
164,1,9,8
165,5,6,3
166,3,3,1
167,2,3,3
168,1,0,7
169,3,5,1
170,5,7,4
171,6,7,9
172,3,5,5
173,5,8,1
174,9,6,7
175,6,8,3
176,2,0,3
177,8,4,5
178,4,6,4
179,1,6,8
180,6,3,2
181,8,9,0
182,4,3,9
183,5,8,9
184,4,9,2
185,8,8,2
186,4,3,9
187,9,7,5
188,2,5,4
189,1,9,9
190,1,7,0
191,4,2,4
192,0,2,1
193,6,5,6
194,8,1,2
195,8,1,9
196,9,0,7
197,7,2,8
198,3,7,4
199,2,6,9
200,4,1,1
201,1,7,6
202,6,7,6
203,0,9,3
204,2,1,1
205,5,3,1
206,9,3,8
207,4,1,3
208,7,8,1
209,9,2,0
210,1,9,2
211,0,2,2
212,1,5,1
213,5,0,2
214,8,7,0
215,2,1,5
216,3,3,7
217,7,1,2
218,5,9,4
219,2,6,0
220,1,1,2
221,5,1,4
222,2,2,7
223,3,3,3
224,4,6,6
225,7,5,1
226,9,5,2
227,1,8,8
228,0,1,4
229,4,0,9
230,3,8,3
231,5,2,3
232,9,4,5
233,0,6,5
234,3,1,7
235,5,8,2
236,8,3,0
237,6,4,8
238,4,1,4
239,7,4,1
240,2,2,9
241,4,0,0
242,0,6,6
243,6,0,8
244,1,4,0
245,8,2,7
246,5,9,3
247,5,3,7
248,1,9,3
249,6,2,4
250,1,8,0
251,2,2,7
252,0,0,4
253,6,1,6
254,2,3,8
255,7,7,0
256,0,8,8
257,9,3,5
258,4,4,7
259,2,1,6
260,0,6,1
261,5,9,6
262,0,4,2
263,8,3,9
264,3,6,2
265,9,2,8
266,9,7,2
267,0,9,3
268,0,2,4
269,7,8,2
270,7,9,3
271,8,2,3
272,7,8,3
273,5,2,6
274,8,5,4
275,8,0,6
276,3,8,5
277,6,3,2
278,8,7,7
279,8,9,1
280,3,2,6
281,9,0,7
282,7,4,3
283,9,4,0
284,5,8,8
285,7,6,0
286,2,7,2
287,9,2,5
288,1,4,4
289,8,3,8
290,1,6,7
291,0,8,5
292,7,3,7
293,6,6,3
294,1,0,7
295,0,7,5
296,8,8,0
297,1,4,4
298,1,0,4
299,1,5,5
300,1,2,6
301,3,3,0
302,0,0,1
303,4,9,7
304,3,9,9
305,3,6,7
306,7,4,8
307,6,9,0
308,5,1,9
309,7,7,7
310,5,7,5
311,1,0,4
312,0,6,8
313,0,6,9
314,2,4,2
315,1,3,7
316,2,1,8
317,1,9,0
318,5,3,7
319,3,9,5
320,5,9,8
321,4,2,9
322,0,6,4
323,3,7,5
324,8,0,5
325,5,3,1
326,9,3,0
327,9,8,0
328,7,3,6
329,5,4,3
330,1,7,9
331,1,9,6
332,1,6,7
333,2,3,8
334,4,8,0
335,9,5,0
336,5,5,1
337,6,3,2
338,7,0,4
339,1,5,2
340,9,9,2
341,2,5,9
342,6,8,6
343,9,9,7
344,0,3,5
345,5,1,3
346,0,0,0
347,7,1,8
348,3,9,4
349,4,3,1
350,6,3,8
351,4,1,7
352,0,3,8
353,9,9,6
354,7,5,0
355,4,8,7
356,8,5,2
357,7,5,6
358,4,6,9
359,2,7,7
360,9,6,5
361,9,6,5
362,6,4,0
363,4,5,8
364,9,0,8
365,8,8,7
366,8,4,1
367,7,7,8
368,8,0,5
369,1,3,5
370,0,9,1
371,7,9,8
372,2,0,2
373,4,1,7
374,4,0,9
375,9,9,4
376,2,7,4
377,1,5,5
378,0,7,5
379,6,4,9
380,8,2,0
381,8,8,5
382,6,0,6
383,0,8,1
384,6,9,0
385,3,3,2
386,5,7,8
387,3,9,6
388,2,2,7
389,2,7,5
390,9,5,6
391,0,6,6
392,4,2,6
393,0,2,9
394,7,2,9
395,4,4,0
396,9,6,3
397,3,4,5
398,2,7,4
399,8,1,6
400,5,9,6
401,3,5,4
402,0,5,8
403,4,3,1
404,1,0,9
405,8,9,1
406,2,2,2
407,0,4,2
408,2,3,7
409,4,0,0
410,8,6,6
411,6,3,6
412,5,1,4
413,9,1,0
414,7,3,7
415,8,3,4
416,0,0,1
417,3,7,1
418,4,2,9
419,7,2,3
420,4,2,7
421,4,0,2
422,4,9,5
423,3,6,7
424,0,4,3
425,5,3,5
426,6,1,8
427,1,5,9
428,5,1,2
429,6,4,1
430,6,5,2
431,2,1,9
432,1,6,3
433,2,5,5
434,6,9,8
435,1,6,1
436,2,4,4
437,7,2,7
438,2,3,5
439,6,0,5
440,5,2,0
441,1,9,6
442,1,7,4
443,1,9,8
444,1,0,7
445,0,8,7
446,5,3,1
447,4,5,3
448,7,8,5
449,0,4,8
450,0,3,3
451,4,2,3
452,6,6,6
453,1,0,2
454,7,1,3
455,6,1,2
456,8,8,7
457,1,8,9
458,3,8,3
459,6,2,0
460,1,5,0
461,1,9,0
462,2,9,2
463,9,9,4
464,0,8,6
465,0,9,5
466,2,5,6
467,8,8,2
468,6,8,7
469,9,4,9
470,5,7,7
471,3,0,1
472,6,1,6
473,4,0,7
474,0,4,1
475,5,8,3
476,1,1,1
477,4,9,8
478,2,7,7
479,9,6,2
480,3,3,5
481,5,5,0
482,8,1,8
483,0,7,5
484,8,9,9
485,4,8,5
486,9,3,2
487,8,5,6
488,1,1,5
489,6,1,8
490,6,3,4
491,9,9,5
492,9,3,1
493,3,8,5
494,1,5,3
495,8,2,7
496,0,2,8
497,5,9,5
498,2,1,1
499,0,1,2
500,6,7,9
501,6,4,0
502,9,2,9
503,7,8,2
504,9,4,7
505,4,8,0
506,9,9,3
507,1,7,2
508,2,9,5
509,8,3,1
510,2,5,3
511,9,1,4
512,9,4,7
513,9,0,0
514,1,2,2
515,2,8,6
516,5,8,3
517,2,8,7
518,4,0,2
519,6,5,8
520,4,9,3
521,5,3,5
522,0,7,3
523,5,3,2
524,0,3,6
525,9,1,9
526,3,5,7
527,5,9,3
528,7,4,3
529,4,1,3
530,7,1,9
531,8,3,5
532,2,7,7
533,2,0,0
534,4,3,2
535,2,0,5
536,9,5,1
537,9,9,8
538,6,2,8
539,4,3,5
540,1,5,4
541,0,3,3
542,6,1,4
543,3,6,2
544,2,6,9
545,8,3,8
546,0,9,8
547,8,0,6
548,4,1,1
549,4,5,0
550,6,6,6
551,3,0,0
552,9,9,3
553,0,1,9
554,3,5,5
555,6,0,2
556,3,3,1
557,4,4,3
558,6,6,6
559,2,9,7
560,0,5,7
561,1,9,0
562,3,8,2
563,0,8,0
564,7,3,2
565,9,8,2
566,9,0,6
567,4,3,3
568,9,5,3
569,0,4,9
570,5,8,7
571,7,9,8
572,7,3,1
573,5,9,7
574,9,1,0
575,9,3,9
576,4,8,7
577,2,2,8
578,3,9,8
579,5,8,8
580,3,8,5
581,1,6,0
582,3,1,5
583,8,5,0
584,0,8,5
585,3,6,5
586,2,0,7
587,5,6,9
588,6,5,2
589,4,8,5
590,9,4,7
591,0,4,6
592,0,3,6
593,8,2,9
594,1,3,0
595,1,6,2
596,1,9,3
597,4,2,9
598,3,0,6
599,5,5,4
600,7,5,2
601,4,2,1
602,9,7,9
603,6,9,9
604,9,3,9
605,0,3,0
606,6,3,8
607,4,0,5
608,9,6,4
609,1,7,8
610,3,3,7
611,8,0,1
612,7,3,0
613,5,9,1
614,3,6,9
615,1,4,2
616,4,7,5
617,0,9,2
618,2,7,9
619,5,6,7
620,8,6,6
621,0,4,4
622,6,3,9
623,3,0,8
624,6,7,5
625,5,4,6
626,5,8,8
627,4,7,2
628,2,0,1
629,1,1,8
630,2,2,3
631,1,9,4
632,1,8,2
633,4,4,6
634,3,8,2
635,6,6,9
636,4,0,3
637,6,3,3
638,9,5,1
639,7,8,3
640,9,0,8
641,6,3,6
642,4,3,3
643,3,6,4
644,9,4,9
645,5,8,4
646,7,3,2
647,1,7,5
648,0,4,4
649,2,8,2
650,9,6,9
651,3,4,5
652,2,5,8
653,0,3,7
654,5,0,7
655,7,9,8
656,0,2,8
657,9,5,9
