回号,第1数字,第2数字,第3数字,第4数字
1,1,1,4,9
2,7,9,2,1
3,0,0,9,7
4,0,1,7,1
5,0,2,6,5
6,5,4,8,2
7,3,9,5,0
8,7,5,0,7
9,2,6,6,4
10,2,4,3,6
11,0,2,5,4
12,9,7,2,2
13,4,6,7,3
14,1,4,0,9
15,6,4,1,9
16,0,5,2,4
17,8,6,9,7
18,3,0,6,2
19,1,0,1,3
20,2,2,6,4
21,3,8,2,5
22,7,0,5,9
23,0,2,8,3
24,2,3,2,1
25,4,5,5,6
26,3,3,6,0
27,4,9,0,8
28,3,4,6,6
29,2,0,6,1
30,7,5,6,6
31,4,8,3,0
32,4,5,7,5
33,5,8,1,9
34,7,5,2,1
35,4,7,0,3
36,9,7,7,6
37,6,9,4,1
38,8,6,3,4
39,5,5,6,0
40,5,5,8,4
41,0,2,2,8
42,9,8,7,5
43,5,0,3,1
44,4,7,4,2
45,5,5,4,3
46,9,4,7,6
47,9,1,2,5
48,5,0,7,4
49,6,9,1,0
50,0,0,2,1
51,7,5,9,8
52,5,0,5,3
53,9,0,4,0
54,3,8,9,5
55,6,7,8,0
56,9,9,8,1
57,1,3,9,8
58,3,0,4,2
59,8,8,8,5
60,6,3,7,3
61,7,8,8,2
62,5,6,0,8
63,9,1,2,3
64,8,8,4,4
65,9,8,1,9
66,2,0,9,8
67,4,8,8,1
68,4,2,1,4
69,2,7,9,2
70,5,0,9,4
71,0,9,4,8
72,0,0,8,4
73,2,3,4,1
74,3,0,1,1
75,2,3,3,2
76,5,5,3,1
77,6,4,0,6
78,6,5,3,6
79,1,7,4,2
80,0,4,3,7
81,3,5,0,3
82,1,7,7,0
83,9,0,4,7
84,6,5,8,0
85,2,6,2,4
86,0,6,8,4
87,7,6,7,6
88,2,5,6,2
89,1,6,1,4
90,7,6,9,6
91,0,3,3,0
92,8,7,2,1
93,9,0,5,6
94,8,5,2,6
95,6,2,8,2
96,6,9,9,2
97,2,8,6,6
98,4,9,4,3
99,2,0,7,2
100,5,6,1,4
101,1,4,7,1
102,4,0,3,6
103,8,0,5,0
104,2,9,5,8
105,6,2,0,4
106,9,0,6,3
107,0,5,3,9
108,9,8,5,2
109,3,5,9,3
110,1,6,9,7
111,8,0,1,1
112,4,1,9,1
113,9,1,6,3
114,3,9,4,3
115,4,1,0,1
116,7,4,1,0
117,2,6,8,9
118,7,4,3,5
119,3,0,1,0
120,3,5,8,3
121,2,6,4,5
122,8,5,7,8
123,1,1,6,5
124,0,9,4,2
125,5,7,6,2
126,6,5,7,7
127,9,0,5,4
128,3,3,1,5
129,9,8,4,6
130,4,0,9,2
131,8,8,3,1
132,5,5,6,6
133,5,6,6,0
134,6,8,9,0
135,3,4,0,9
136,4,0,2,3
137,9,0,1,7
138,4,0,7,3
139,7,8,7,1
140,1,0,9,9
141,2,1,3,9
142,2,1,5,6
143,3,7,5,2
144,4,6,8,1
145,8,5,6,7
146,2,1,1,5
147,2,2,0,9
148,6,9,0,1
149,7,7,0,7
150,5,8,2,5
151,3,0,5,6
152,0,2,2,5
153,5,4,6,8
154,1,4,7,0
155,0,1,7,1
156,8,9,5,7
157,9,2,5,4
158,2,5,7,9
159,4,0,3,4
160,5,7,4,1
161,6,6,4,8
162,3,5,8,8
163,2,2,0,7
164,5,4,9,2
165,8,0,9,0
166,0,0,0,7
167,8,0,9,2
168,5,7,3,9
169,4,9,4,6
170,8,6,9,5
171,4,8,2,0
172,0,7,4,4
173,6,0,4,2
174,4,5,4,4
175,8,6,7,0
176,4,9,9,5
177,0,9,7,8
178,8,7,3,4
179,3,5,6,8
180,9,9,8,9
181,8,1,3,2
182,2,0,5,7
183,6,4,1,6
184,5,5,7,0
185,7,2,4,8
186,5,0,1,0
187,4,0,4,6
188,9,1,6,7
189,7,9,8,1
190,6,3,3,2
191,7,3,0,1
192,3,3,7,1
193,5,1,3,2
194,1,7,4,5
195,8,6,9,3
196,8,3,1,6
197,2,6,9,7
198,8,2,3,4
199,7,6,5,6
200,7,4,4,1
201,2,3,9,8
202,7,2,0,2
203,2,2,0,1
204,7,8,3,2
205,5,7,9,7
206,0,3,8,2
207,7,9,1,3
208,9,1,7,0
209,6,6,1,3
210,7,1,5,8
211,5,3,0,1
212,9,4,7,5
213,7,2,5,1
214,1,4,4,9
215,2,2,2,3
216,4,6,9,5
217,4,3,1,6
218,3,6,9,8
219,6,6,3,2
220,6,6,8,4
221,2,5,0,7
222,0,8,8,7
223,1,0,4,1
224,0,2,3,9
225,4,1,4,7
226,5,8,8,6
227,5,3,6,9
228,9,8,8,9
229,9,1,7,1
230,7,4,1,1
231,7,5,6,5
232,8,5,3,2
233,1,9,8,5
234,7,6,7,1
235,4,0,8,0
236,1,4,9,3
237,5,0,5,1
238,4,9,0,1
239,0,4,3,8
240,1,1,7,3
241,0,5,5,7
242,7,7,5,4
243,7,7,0,2
244,4,6,1,2
245,2,1,0,8
246,0,7,4,7
247,0,1,2,7
248,6,1,7,8
249,6,4,7,1
250,4,5,9,0
251,6,9,3,7
252,9,8,7,1
253,9,4,3,4
254,6,8,0,5
255,6,7,5,7
256,8,5,7,5
257,0,9,3,0
258,4,7,1,4
259,5,3,9,3
260,1,2,0,3
261,2,0,4,5
262,6,6,2,8
263,5,1,4,8
264,8,9,9,9
265,4,1,1,2
266,2,3,1,0
267,5,4,9,4
268,8,3,7,5
269,0,6,2,8
270,6,0,2,3
271,3,7,0,3
272,0,6,1,3
273,2,9,9,2
274,1,0,2,6
275,0,8,0,0
276,0,6,5,7
277,0,9,9,9
278,9,3,0,3
279,0,1,7,8
280,2,9,3,7
281,4,8,3,4
282,8,8,8,2
283,8,1,0,6
284,5,0,8,6
285,0,2,9,5
286,6,6,7,0
287,1,6,8,9
288,2,8,6,7
289,6,2,5,4
290,2,9,9,0
291,7,2,6,4
292,3,0,0,9
293,8,2,8,9
294,8,5,1,6
295,2,8,1,4
296,6,8,0,9
297,9,0,4,1
298,9,4,7,2
299,2,5,6,5
300,1,1,1,6
301,7,5,5,4
302,5,0,4,9
303,5,0,9,0
304,6,4,4,4
305,7,2,2,7
306,6,2,7,9
307,4,0,1,4
