回号,抽せん日,第1数字,第2数字,第3数字,ストレート口数,ボックス口数,セット（ストレート）口数,セット（ボックス）口数,ミニ口数,ストレート当選金額,ボックス当選金額,セット（ストレート）当選金額,セット（ボックス）当選金額,ミニ当選金額
6673,2025-03-03,4,2,2,84,300,221,378,839,90800,30200,60500,15100,9000
6674,2025-03-04,6,3,8,91,454,213,883,447,83100,13800,48400,6900,8300
6675,2025-03-05,0,5,2,45,382,104,844,398,127000,21100,74000,10500,12700
6676,2025-03-06,4,1,7,151,596,322,1294,624,58100,9600,33800,4800,5800
6677,2025-03-07,1,2,8,116,489,345,1103,903,64300,10700,37500,5300,6400
6678,2025-03-10,9,5,9,53,216,172,320,559,132300,44100,88200,22000,13200
6679,2025-03-11,0,3,6,79,451,170,1046,472,88900,14800,51800,7400,8800
6680,2025-03-12,3,1,2,226,723,582,1345,468,40300,6700,23500,3300,4000
6681,2025-03-13,9,4,6,71,363,185,890,475,95300,15800,55500,7900,9500
6682,2025-03-14,7,6,6,105,196,96,302,728,103200,34400,68800,17200,10300
6683,2025-03-17,1,8,7,70,564,163,1314,731,90300,15000,52600,7500,9000
6684,2025-03-18,1,5,0,69,387,93,904,448,106200,17700,61900,8800,10600
6685,2025-03-19,0,9,9,226,203,140,319,532,67200,22400,44800,11200,6700
6686,2025-03-20,3,2,0,297,594,672,929,569,34600,5700,20100,2800,3400
6687,2025-03-21,1,4,6,58,575,182,1191,423,90600,15100,52800,7500,9000
6688,2025-03-24,9,4,8,61,421,159,999,689,108100,18000,63000,9000,10800
6689,2025-03-25,9,9,0,355,162,126,242,341,60600,20200,40400,10100,6000
6690,2025-03-26,0,2,9,82,380,198,878,688,84900,14100,49500,7000,8400
6691,2025-03-27,7,2,5,110,516,280,1036,586,67700,11200,39400,5600,6700
6692,2025-03-28,7,3,0,166,422,200,950,454,74800,12400,43600,6200,7400
6693,2025-03-31,3,3,7,181,312,172,372,533,78300,26100,52200,13000,7800
6694,2025-04-01,5,1,5,84,210,197,236,334,92300,30700,61500,15300,9200
6695,2025-04-02,9,6,4,82,449,152,925,425,93800,15600,54700,7800,9300
6696,2025-04-03,1,2,9,165,458,353,1009,412,58900,9800,34300,4900,5800
6697,2025-04-04,2,1,4,140,485,248,1043,420,74000,12300,43100,6100,7400
6698,2025-04-07,6,2,3,167,598,296,1096,475,70400,11700,41000,5800,7000
6699,2025-04-08,4,5,7,167,420,160,826,415,74100,12300,43200,6100,7400
6700,2025-04-09,0,4,6,133,320,163,689,500,86900,14400,50600,7200,8600
6701,2025-04-10,4,6,7,160,348,250,777,367,70700,11700,41200,5800,7000
6702,2025-04-11,5,4,3,59,306,97,757,364,133900,22300,78100,11100,13300
6703,2025-04-14,3,1,3,150,281,212,353,473,80200,26700,53400,13300,8000
6704,2025-04-15,5,7,4,69,296,136,738,1109,95400,15900,55600,7900,9500
6705,2025-04-16,6,2,9,97,470,245,1025,469,79700,13200,46400,6600,7900
6706,2025-04-17,2,4,9,59,439,137,1008,414,104800,17400,61100,8700,10400
6707,2025-04-18,4,4,0,121,266,194,355,0,87400,29100,58200,14500,0
