回号,抽せん日,第1数字,第2数字,第3数字
第6677回,2025/03/07,1,2,8
第6676回,2025/03/06,4,1,7
第6675回,2025/03/05,0,5,2
第6674回,2025/03/04,6,3,8
第6673回,2025/03/03,4,2,2
第6672回,2025/02/28,3,9,4
第6671回,2025/02/27,3,7,2
第6670回,2025/02/26,9,9,6
第6669回,2025/02/25,1,8,5
第6668回,2025/02/24,4,2,3
第6667回,2025/02/21,5,3,1
第6666回,2025/02/20,7,7,0
第6665回,2025/02/19,1,5,7
第6664回,2025/02/18,8,0,4
第6663回,2025/02/17,7,9,6
第6662回,2025/02/14,7,2,0
第6661回,2025/02/13,3,5,4
第6660回,2025/02/12,4,2,7
第6659回,2025/02/11,0,8,6
第6658回,2025/02/10,2,4,9
第6657回,2025/02/07,1,0,0
第6656回,2025/02/06,0,3,3
第6655回,2025/02/05,9,7,3
第6654回,2025/02/04,7,9,9
